Split,Method,nF1,eF1,Exact
single,A,0.9621,0.0000,0.6364
single,B,0.9621,0.0000,0.6364
single,O2,0.9583,0.0000,0.6364
single,O2_oracle,0.9621,0.0000,0.6364
single,GPT-rerank(O2),0.9621,0.0000,0.6364
chain,A,0.8593,0.6601,0.3086
chain,B,0.8578,0.6595,0.3171
chain,O2,0.8491,0.6296,0.2976
chain,O2_oracle,0.8666,0.7041,0.3333
chain,GPT-rerank(O2),0.8631,0.6768,0.3214
dag,A,0.9223,0.7372,0.1538
dag,B,0.9223,0.7167,0.1538
dag,O2,0.9223,0.6859,0.1538
dag,O2_oracle,0.9223,0.7679,0.1538
dag,GPT-rerank(O2),0.9223,0.7167,0.1538
